Rank,Player,Team,Bye,POS,BB10,RTSports,Underdog,Drafters,DraftKings,AVG
1,Christian McCaffrey,SF,9,RB1,3,2,3,1,,2.3
2,Tyreek Hill,,,WR1,5,5,4,7,,5.3
3,Travis Kelce,KC,10,TE1,6,9,8,10,,8.3
4,CeeDee Lamb,DAL,7,WR2,11,10,11,2,,8.5
5,Stefon Diggs,,,WR3,8,12,7,11,,9.5
6,A.J. Brown,NE,11,WR4,12,14,9,13,,12
7,Amon-Ra St. Brown,DET,9,WR5,14,19,12,14,,14.8
8,Tony Pollard,TEN,7,RB2,18,16,15,18,,16.8
9,Patrick Mahomes II,KC,10,QB1,17,13,22,16,,17
10,Josh Allen,BUF,13,QB2,23,11,26,9,,17.3
11,Jalen Hurts,PHI,10,QB3,22,15,23,12,,18
12,Jaylen Waddle,DEN,9,WR6,20,22,17,29,,22
13,DeVonta Smith,PHI,10,WR7,25,23,24,22,,23.5
14,Lamar Jackson,BAL,13,QB4,36,28,31,4,,24.8
15,Cooper Kupp,SEA,5,WR8,7,46,19,33,,26.3
16,Deebo Samuel Sr.,,,WR9,33,41,34,3,,27.8
17,Jahmyr Gibbs,DET,9,RB3,38,44,29,23,,33.5
18,Amari Cooper,,,WR10,39,40,32,34,,36.3
19,Mark Andrews,BAL,13,TE2,31,30,28,60,,37.3
20,Brandon Aiyuk,SF,9,WR11,61,62,47,6,,44
21,Najee Harris,LAC,5,RB4,28,24,44,82,,44.5
22,Aaron Jones Sr.,MIN,13,RB5,42,38,49,64,,48.3
23,George Kittle,SF,9,TE3,69,54,66,8,,49.3
24,James Cook III,BUF,13,RB6,68,48,65,19,,50
25,Chris Godwin Jr.,TB,5,WR12,54,67,61,55,,59.3
26,Christian Watson,GB,6,WR13,50,75,40,87,,63
27,Rachaad White,WAS,14,RB7,70,55,81,48,,63.5
28,Dallas Goedert,PHI,10,TE4,81,64,79,32,,64
29,D'Andre Swift,CHI,13,RB8,73,74,85,27,,64.8
30,Isiah Pacheco,DET,9,RB9,82,73,88,20,,65.8
31,David Montgomery,HOU,7,RB10,79,70,75,43,,66.8
32,Mike Evans,SF,9,WR14,71,88,69,44,,68
33,Gabe Davis,,,WR15,84,94,67,39,,71
34,Diontae Johnson,,,WR16,60,81,51,97,,72.3
35,George Pickens,DAL,7,WR17,72,79,58,81,,72.5
36,Dak Prescott,DAL,7,QB5,86,80,107,21,,73.5
37,Zay Flowers,BAL,13,WR18,103,106,73,15,,74.3
38,Tua Tagovailoa,ATL,11,QB6,90,89,94,35,,77
39,Brandin Cooks,,,WR19,89,98,83,38,,77
40,Dalvin Cook,,,RB11,75,68,93,73,,77.3
41,David Njoku,LAC,5,TE5,112,103,108,42,,91.3
42,Raheem Mostert,LV,13,RB12,143,93,111,25,,93
43,Justin Jefferson,MIN,13,WR20,1,1,1,,,1
44,Ja'Marr Chase,CIN,7,WR21,2,3,2,,,2.3
45,De'Von Achane,MIA,10,RB13,127,99,127,31,,96
46,Austin Ekeler,,,RB14,4,4,5,,,4.3
47,Odell Beckham Jr.,NYG,13,WR22,126,113,110,41,,97.5
48,Bijan Robinson,ATL,11,RB15,9,7,6,,,7.3
49,Jared Goff,DET,9,QB7,109,114,129,46,,99.5
50,Elijah Moore,PHI,10,WR23,100,129,92,78,,99.8
51,Rashod Bateman,BAL,13,WR24,113,143,97,51,,101
52,Saquon Barkley,PHI,10,RB16,10,6,14,,,10
53,Nick Chubb ,,,RB17,13,8,10,,,10.3
54,Dalton Kincaid,BUF,13,TE6,145,112,116,40,,103.3
55,Kadarius Toney,,,WR25,105,142,99,69,,103.8
56,Jerick McKinnon,,,RB18,118,119,126,58,,105.3
57,Garrett Wilson,NYJ,7,WR26,16,17,13,,,15.3
58,Davante Adams,LAR,10,WR27,15,20,16,,,17
59,Derrick Henry,BAL,13,RB19,19,21,20,,,20
60,Nico Collins,HOU,7,WR28,133,133,118,52,,109
61,Sam LaPorta,DET,9,TE7,154,116,131,36,,109.3
62,Chris Olave,NO,11,WR29,24,25,18,,,22.3
63,Elijah Mitchell,PHI,10,RB20,131,118,134,61,,111
64,Josh Jacobs,GB,6,RB21,27,18,25,,,23.3
65,Tyler Higbee,LAR,10,TE8,138,120,130,72,,115
66,Dalton Schultz,HOU,7,TE9,124,134,140,63,,115.3
67,Calvin Ridley,TEN,7,WR30,34,32,21,,,29
68,Kenneth Gainwell,TB,5,RB22,136,127,144,57,,116
69,Tee Higgins,CIN,7,WR31,26,36,27,,,29.7
70,Rhamondre Stevenson,NE,11,RB23,29,29,33,,,30.3
71,Brock Purdy,SF,9,QB8,149,156,157,5,,116.8
72,Jameson Williams,DET,9,WR32,120,161,135,53,,117.3
73,DK Metcalf,PIT,6,WR33,30,35,30,,,31.7
74,Travis Etienne Jr.,NO,11,RB24,37,26,36,,,33
75,Joe Mixon,,,RB25,35,34,38,,,35.7
76,Keenan Allen,LAC,5,WR34,32,42,35,,,36.3
77,Rashee Rice,KC,10,WR35,170,147,151,17,,121.3
78,Joe Burrow,CIN,7,QB9,40,27,45,,,37.3
79,Justin Herbert,LAC,5,QB10,45,31,48,,,41.3
80,DJ Moore,BUF,13,WR36,43,52,37,,,44
81,Justin Fields,KC,10,QB11,46,47,39,,,44
82,Kenneth Walker III,KC,10,RB26,48,37,50,,,45
83,T.J. Hockenson,MIN,13,TE10,47,39,52,,,46
84,Breece Hall,NYJ,7,RB27,41,57,43,,,47
85,Dameon Pierce,PHI,10,RB28,57,33,54,,,48
86,Jonathan Taylor,IND,11,RB29,21,69,57,,,49
87,DeAndre Hopkins,BAL,13,WR37,44,58,46,,,49.3
88,Mike Williams ,,,WR38,56,56,41,,,51
89,Jake Ferguson,DAL,7,TE11,183,159,160,30,,133
90,Drake London,ATL,11,WR39,52,63,42,,,52.3
91,Devin Singletary,NYG,13,RB30,152,150,169,68,,134.8
