Player,AVG,position,year,search_full_name,player_id
David Johnson,1.0,RB,2017,davidjohnson,2391
Le'Veon Bell,2.0,RB,2017,leveonbell,1408
Antonio Brown,3.0,WR,2017,antoniobrown,536
Julio Jones,4.0,WR,2017,juliojones,947
Odell Beckham Jr.,5.0,WR,2017,odellbeckham,2078
Mike Evans,6.7,WR,2017,mikeevans,2216
LeSean McCoy,7.7,RB,2017,leseanmccoy,676
A.J. Green,8.0,WR,2017,ajgreen,830
Melvin Gordon,8.7,RB,2017,melvingordon,2320
Devonta Freeman,9.7,RB,2017,devontafreeman,2168
Jordy Nelson,11.3,WR,2017,jordynelson,175
Ezekiel Elliott,12.7,RB,2017,ezekielelliott,3164
Michael Thomas,13.3,WR,2017,michaelthomas,3199
Jay Ajayi,13.3,RB,2017,jayajayi,2452
Jordan Howard,14.7,RB,2017,jordanhoward,3306
DeMarco Murray,15.3,RB,2017,demarcomurray,904
Dez Bryant,18.0,WR,2017,dezbryant,574
Amari Cooper,18.7,WR,2017,amaricooper,2309
Todd Gurley,19.0,RB,2017,toddgurley,2315
Rob Gronkowski,19.3,TE,2017,robgronkowski,515
T.Y. Hilton,20.3,WR,2017,tyhilton,1110
Doug Baldwin,22.7,WR,2017,dougbaldwin,988
Brandin Cooks,23.3,WR,2017,brandincooks,2197
Aaron Rodgers,24.0,QB,2017,aaronrodgers,96
Leonard Fournette,24.0,RB,2017,leonardfournette,3969
DeAndre Hopkins,27.7,WR,2017,deandrehopkins,1426
Isaiah Crowell,28.7,RB,2017,isaiahcrowell,1901
Lamar Miller,29.0,RB,2017,lamarmiller,1048
Demaryius Thomas,29.3,WR,2017,demaryiusthomas,560
Tom Brady,30.0,QB,2017,tombrady,167
Terrelle Pryor Sr.,32.0,WR,2017,terrellepryor,1020
Travis Kelce,32.0,TE,2017,traviskelce,1466
Christian McCaffrey,32.7,RB,2017,christianmccaffrey,4034
Keenan Allen,32.7,WR,2017,keenanallen,1479
Marshawn Lynch,35.7,RB,2017,marshawnlynch,745
Dalvin Cook,37.0,RB,2017,dalvincook,4029
Alshon Jeffery,37.0,WR,2017,alshonjeffery,1149
