AVG,year,player,fantasyPts,position,bucket,median,expected_diff,player_id
24.0,2017,Aaron Rodgers,137.6,QB,0,307.2,-169.6,96
30.0,2017,Tom Brady,305.9,QB,0,307.2,-1.30000000000001,167
43.3,2017,Drew Brees,270.6,QB,0,307.2,-36.6,289
62.0,2017,Matt Ryan,246.1,QB,0,307.2,-61.1,24
67.3,2017,Russell Wilson,360.9,QB,0,307.2,53.7,1234
84.7,2017,Jameis Winston,224.7,QB,0,307.2,-82.5,2306
86.0,2017,Cam Newton,315.5,QB,1,286.7,28.8,954
86.0,2017,Marcus Mariota,227.5,QB,1,286.7,-59.2,2307
89.7,2017,Kirk Cousins,300.6,QB,1,286.7,13.9,1166
92.3,2017,Derek Carr,221.4,QB,1,286.7,-65.3,2028
94.0,2017,Ben Roethlisberger,272.7,QB,1,286.7,-14.0,138
104.7,2017,Dak Prescott,279.7,QB,1,286.7,-7.0,3294
106.0,2017,Matthew Stafford,293.6,QB,2,259.25,34.35,421
109.3,2017,Philip Rivers,282.4,QB,2,259.25,23.15,331
116.3,2017,Andy Dalton,230.7,QB,2,259.25,-28.55,829
120.7,2017,Eli Manning,210.3,QB,2,259.25,-48.95,188
127.0,2017,Carson Wentz,286.7,QB,2,259.25,27.45,3161
128.7,2017,Carson Palmer,109.3,QB,2,259.25,-149.95,91
137.0,2017,Tyrod Taylor,229.9,QB,3,209.0,20.9,827
154.0,2017,Jay Cutler,171.8,QB,3,209.0,-37.2,416
155.7,2017,Sam Bradford,27.0,QB,3,209.0,-182.0,621
156.3,2017,Joe Flacco,196.0,QB,3,209.0,-13.0,19
170.0,2017,Blake Bortles,262.7,QB,3,209.0,53.7,1979
174.3,2017,Alex Smith,302.2,QB,3,209.0,93.2,268
179.3,2017,Brian Hoyer,69.9,QB,4,174.65,-104.75,345
188.7,2017,Deshaun Watson,174.9,QB,4,174.65,0.25,4017
196.7,2017,Jared Goff,268.3,QB,4,174.65,93.65,3163
201.0,2017,DeShone Kizer,209.7,QB,4,174.65,35.05,4026
206.3,2017,Trevor Siemian,144.1,QB,4,174.65,-30.55,2549
212.0,2017,Mike Glennon,44.7,QB,4,174.65,-129.95,1559
234.5,2017,Josh McCown,222.4,QB,5,112.1,110.3,208
240.0,2017,Tom Savage,70.7,QB,5,112.1,-41.4,1957
250.3,2017,Jimmy Garoppolo,92.5,QB,5,112.1,-19.6,1837
260.0,2017,Paxton Lynch,19.8,QB,5,112.1,-92.3,3170
277.7,2017,Patrick Mahomes,11.4,QB,5,112.1,-100.7,4046
287.0,2017,Teddy Bridgewater,-1.3,QB,5,112.1,-113.4,2152
287.5,2017,Brock Osweiler,70.9,QB,6,12.3,58.6,1126
291.5,2017,Chad Henne,-0.5,QB,6,12.3,-12.8,89
306.5,2017,Matt Moore,46.3,QB,6,12.3,34.0,233
307.0,2017,Cody Kessler,3.9,QB,6,12.3,-8.4,3205
373.0,2017,Landry Jones,11.6,QB,6,12.3,-0.700000000000001,1411
382.0,2017,A.J. McCarron,2.6,QB,6,12.3,-9.7,1895
391.0,2017,Ryan Fitzpatrick,76.9,QB,7,25.45,51.45,333
1.0,2017,David Johnson,15.0,RB,0,239.4,-224.4,2391
2.0,2017,Le'Veon Bell,345.6,RB,0,239.4,106.2,1408
7.7,2017,LeSean McCoy,265.6,RB,0,239.4,26.2,676
8.7,2017,Melvin Gordon III,288.1,RB,0,239.4,48.7,2320
9.7,2017,Devonta Freeman,202.2,RB,0,239.4,-37.2,2168
