AVG,year,player,fantasyPts,position,bucket,median,expected_diff,sleeper_id,player_id
24.0,2017,Aaron Rodgers,137.6,QB,0,307.2,-169.6,8140,96
30.0,2017,Tom Brady,305.9,QB,0,307.2,-1.3000000000000114,8140,167
43.3,2017,Drew Brees,270.6,QB,0,307.2,-36.599999999999966,8140,289
62.0,2017,Matt Ryan,246.1,QB,0,307.2,-61.099999999999994,8140,24
67.3,2017,Russell Wilson,360.9,QB,0,307.2,53.69999999999999,8140,1234
84.7,2017,Jameis Winston,224.7,QB,0,307.2,-82.5,8140,2306
86.0,2017,Cam Newton,315.5,QB,1,286.7,28.80000000000001,8140,954
86.0,2017,Marcus Mariota,227.5,QB,1,286.7,-59.19999999999999,8140,2307
89.7,2017,Kirk Cousins,300.6,QB,1,286.7,13.900000000000034,8140,1166
92.3,2017,Derek Carr,221.4,QB,1,286.7,-65.29999999999998,8140,2028
94.0,2017,Ben Roethlisberger,272.7,QB,1,286.7,-14.0,8140,138
104.7,2017,Dak Prescott,279.7,QB,1,286.7,-7.0,8140,3294
106.0,2017,Matthew Stafford,293.6,QB,2,259.25,34.35000000000002,8140,421
109.3,2017,Philip Rivers,282.4,QB,2,259.25,23.149999999999977,8140,331
116.3,2017,Andy Dalton,230.7,QB,2,259.25,-28.55000000000001,8140,829
120.7,2017,Eli Manning,210.3,QB,2,259.25,-48.94999999999999,8140,188
127.0,2017,Carson Wentz,286.7,QB,2,259.25,27.44999999999999,8140,3161
128.7,2017,Carson Palmer,109.3,QB,2,259.25,-149.95,8140,91
137.0,2017,Tyrod Taylor,229.9,QB,3,209.0,20.90000000000001,8140,827
154.0,2017,Jay Cutler,171.8,QB,3,209.0,-37.19999999999999,8140,416
155.7,2017,Sam Bradford,27.0,QB,3,209.0,-182.0,8140,621
156.3,2017,Joe Flacco,196.0,QB,3,209.0,-13.0,8140,19
170.0,2017,Blake Bortles,262.7,QB,3,209.0,53.69999999999999,8140,1979
174.3,2017,Alex Smith,302.2,QB,3,209.0,93.2,8140,268
179.3,2017,Brian Hoyer,69.9,QB,4,174.65,-104.75,8140,345
188.7,2017,Deshaun Watson,174.9,QB,4,174.65,0.25,8140,4017
196.7,2017,Jared Goff,268.3,QB,4,174.65,93.65,8140,3163
201.0,2017,DeShone Kizer,209.7,QB,4,174.65,35.04999999999998,8140,4026
206.3,2017,Trevor Siemian,144.1,QB,4,174.65,-30.55000000000001,8140,2549
212.0,2017,Mike Glennon,44.7,QB,4,174.65,-129.95,8140,1559
234.5,2017,Josh McCown,222.4,QB,5,112.1,110.3,8140,208
240.0,2017,Tom Savage,70.7,QB,5,112.1,-41.39999999999999,8140,1957
250.3,2017,Jimmy Garoppolo,92.5,QB,5,112.1,-19.59999999999999,8140,1837
260.0,2017,Paxton Lynch,19.8,QB,5,112.1,-92.3,8140,3170
277.7,2017,Patrick Mahomes,11.4,QB,5,112.1,-100.7,8140,4046
287.0,2017,Teddy Bridgewater,-1.3,QB,5,112.1,-113.4,8140,2152
287.5,2017,Brock Osweiler,70.9,QB,6,12.3,58.60000000000001,8140,1126
291.5,2017,Chad Henne,-0.5,QB,6,12.3,-12.8,8140,89
306.5,2017,Matt Moore,46.3,QB,6,12.3,34.0,8140,233
307.0,2017,Cody Kessler,3.9,QB,6,12.3,-8.4,8140,3205
373.0,2017,Landry Jones,11.6,QB,6,12.3,-0.7000000000000011,8140,1411
382.0,2017,A.J. McCarron,2.6,QB,6,12.3,-9.7,8140,1895
391.0,2017,Ryan Fitzpatrick,76.9,QB,7,25.450000000000003,51.45,8140,333
1.0,2017,David Johnson,15.0,RB,0,239.4,-224.4,8140,2391
2.0,2017,Le'Veon Bell,345.6,RB,0,239.4,106.20000000000005,8140,1408
7.7,2017,LeSean McCoy,265.6,RB,0,239.4,26.200000000000045,8140,676
8.7,2017,Melvin Gordon III,288.1,RB,0,239.4,48.700000000000045,8140,2320
9.7,2017,Devonta Freeman,202.2,RB,0,239.4,-37.19999999999999,8140,2168
12.7,2017,Ezekiel Elliott,205.2,RB,0,239.4,-34.19999999999999,8140,3164
13.3,2017,Jay Ajayi,139.1,RB,1,227.8,-88.70000000000002,8140,2452
14.7,2017,Jordan Howard,201.7,RB,1,227.8,-26.100000000000023,8140,3306
15.3,2017,DeMarco Murray,173.5,RB,1,227.8,-54.30000000000001,8140,904
19.0,2017,Todd Gurley II,387.3,RB,1,227.8,159.5,8140,2315
24.0,2017,Leonard Fournette,230.2,RB,1,227.8,2.3999999999999773,8140,3969
28.7,2017,Isaiah Crowell,143.5,RB,1,227.8,-84.30000000000001,8140,1901
29.0,2017,Lamar Miller,193.5,RB,2,193.55,-0.0500000000000113,8140,1048
32.7,2017,Christian McCaffrey,230.6,RB,2,193.55,37.04999999999998,8140,4034
35.7,2017,Marshawn Lynch,166.2,RB,2,193.55,-27.350000000000023,8140,745
37.0,2017,Dalvin Cook,67.4,RB,2,193.55,-126.15,8140,4029
40.3,2017,Joe Mixon,145.3,RB,2,193.55,-48.25,8140,4018
41.7,2017,Carlos Hyde,235.8,RB,2,193.55,42.25,8140,2257
42.0,2017,Ty Montgomery,91.6,RB,3,169.05,-77.45000000000002,8140,2399
54.3,2017,Mark Ingram II,284.0,RB,3,169.05,114.95,8140,956
58.0,2017,C.J. Anderson,175.1,RB,3,169.05,6.049999999999983,8140,1451
62.7,2017,Ameer Abdullah,126.4,RB,3,169.05,-42.650000000000006,8140,2359
62.7,2017,Tevin Coleman,167.7,RB,3,169.05,-1.3500000000000227,8140,2378
64.0,2017,Danny Woodhead,58.6,RB,3,169.05,-110.45000000000002,8140,735
64.3,2017,Bilal Powell,147.2,RB,4,151.8,-4.600000000000023,8140,818
