Player,AVG,year,fantasyPts,position,bucket,median,expected_diff
Aaron Rodgers,24.0,2017,137.6,QB,0,307.2,-169.6
Tom Brady,30.0,2017,305.9,QB,0,307.2,-1.3000000000000114
Drew Brees,43.3,2017,270.6,QB,0,307.2,-36.599999999999966
Matt Ryan,62.0,2017,246.1,QB,0,307.2,-61.099999999999994
Russell Wilson,67.3,2017,360.9,QB,0,307.2,53.69999999999999
Jameis Winston,84.7,2017,224.7,QB,0,307.2,-82.5
Cam Newton,86.0,2017,315.5,QB,1,286.7,28.80000000000001
Marcus Mariota,86.0,2017,227.5,QB,1,286.7,-59.19999999999999
Kirk Cousins,89.7,2017,300.6,QB,1,286.7,13.900000000000034
Derek Carr,92.3,2017,221.4,QB,1,286.7,-65.29999999999998
Ben Roethlisberger,94.0,2017,272.7,QB,1,286.7,-14.0
Dak Prescott,104.7,2017,279.7,QB,1,286.7,-7.0
Matthew Stafford,106.0,2017,293.6,QB,2,259.25,34.35000000000002
Philip Rivers,109.3,2017,282.4,QB,2,259.25,23.149999999999977
Andy Dalton,116.3,2017,230.7,QB,2,259.25,-28.55000000000001
Eli Manning,120.7,2017,210.3,QB,2,259.25,-48.94999999999999
Carson Wentz,127.0,2017,286.7,QB,2,259.25,27.44999999999999
Carson Palmer,128.7,2017,109.3,QB,2,259.25,-149.95
Tyrod Taylor,137.0,2017,229.9,QB,3,209.0,20.900000000000006
Jay Cutler,154.0,2017,171.8,QB,3,209.0,-37.19999999999999
Sam Bradford,155.7,2017,27.0,QB,3,209.0,-182.0
Joe Flacco,156.3,2017,196.0,QB,3,209.0,-13.0
Blake Bortles,170.0,2017,262.7,QB,3,209.0,53.69999999999999
Alex Smith,174.3,2017,302.2,QB,3,209.0,93.19999999999999
Brian Hoyer,179.3,2017,69.9,QB,4,174.65,-104.75
Deshaun Watson,188.7,2017,174.9,QB,4,174.65,0.25
Jared Goff,196.7,2017,268.3,QB,4,174.65,93.65
DeShone Kizer,201.0,2017,209.7,QB,4,174.65,35.04999999999998
Trevor Siemian,206.3,2017,144.1,QB,4,174.65,-30.55000000000001
Mike Glennon,212.0,2017,44.7,QB,4,174.65,-129.95
Josh McCown,234.5,2017,222.4,QB,5,112.1,110.30000000000001
Tom Savage,240.0,2017,70.7,QB,5,112.1,-41.39999999999999
Jimmy Garoppolo,250.3,2017,92.5,QB,5,112.1,-19.599999999999994
Paxton Lynch,260.0,2017,19.8,QB,5,112.1,-92.3
Patrick Mahomes,277.7,2017,11.4,QB,5,112.1,-100.69999999999999
Teddy Bridgewater,287.0,2017,-1.3,QB,5,112.1,-113.39999999999999
Brock Osweiler,287.5,2017,70.9,QB,6,14.9,56.00000000000001
Chad Henne,291.5,2017,-0.5,QB,6,14.9,-15.4
Matt Moore,306.5,2017,46.3,QB,6,14.9,31.4
Cody Kessler,307.0,2017,3.9,QB,6,14.9,-11.0
Landry Jones,373.0,2017,11.6,QB,6,14.9,-3.3000000000000007
Ryan Fitzpatrick,391.0,2017,76.9,QB,6,14.9,62.00000000000001
David Johnson,1.0,2017,15.0,RB,0,239.39999999999998,-224.39999999999998
Le'Veon Bell,2.0,2017,345.6,RB,0,239.39999999999998,106.20000000000005
LeSean McCoy,7.7,2017,265.6,RB,0,239.39999999999998,26.200000000000045
Melvin Gordon,8.7,2017,288.1,RB,0,239.39999999999998,48.700000000000045
